Date,AAPL
2020-01-02,72.4005126953125
2020-01-03,71.69664764404297
2020-01-06,72.2679214477539
2020-01-07,71.92803955078125
2020-01-08,73.08512115478516
2020-01-09,74.63748931884766
2020-01-10,74.80622863769531
2020-01-13,76.4044189453125
2020-01-14,75.37269592285156
2020-01-15,75.0497055053711
2020-01-16,75.98979949951172
2020-01-17,76.83108520507812
2020-01-21,76.3104019165039
2020-01-22,76.58280944824219
2020-01-23,76.95159912109375
2020-01-24,76.7298355102539
2020-01-27,74.47360229492188
2020-01-28,76.58036041259766
2020-01-29,78.18341827392578
2020-01-30,78.07007598876953
2020-01-31,74.60857391357422
2020-02-03,74.4036865234375
2020-02-04,76.86001586914062
2020-02-05,77.48674011230469
2020-02-06,78.39311981201172
2020-02-07,77.3275375366211
2020-02-10,77.69480895996094
2020-02-11,77.22606658935547
2020-02-12,79.06000518798828
2020-02-13,78.49700164794922
2020-02-14,78.5163345336914
2020-02-18,77.07865142822266
2020-02-19,78.19497680664062
2020-02-20,77.39276885986328
2020-02-21,75.64098358154297
2020-02-24,72.04802703857422
2020-02-25,69.60759735107422
2020-02-26,70.7118148803711
2020-02-27,66.08952331542969
2020-02-28,66.05086517333984
2020-03-02,72.20024108886719
2020-03-03,69.90721130371094
2020-03-04,73.14981842041016
2020-03-05,70.77706146240234
2020-03-06,69.8371353149414
2020-03-09,64.31358337402344
2020-03-10,68.9455337524414
2020-03-11,66.55103302001953
2020-03-12,59.97880554199219
2020-03-13,67.16475677490234
2020-03-16,58.52422332763672
2020-03-17,61.09752655029297
2020-03-18,59.601871490478516
2020-03-19,59.14520263671875
2020-03-20,55.39033508300781
2020-03-23,54.21360397338867
2020-03-24,59.65260314941406
2020-03-25,59.323997497558594
2020-03-26,62.44580078125
2020-03-27,59.86039733886719
2020-03-30,61.568702697753906
2020-03-31,61.443058013916016
2020-04-01,58.21010208129883
2020-04-02,59.181434631347656
2020-04-03,58.33091354370117
2020-04-06,63.4195556640625
2020-04-07,62.68501281738281
2020-04-08,64.28939819335938
2020-04-09,64.75333404541016
2020-04-13,66.02428436279297
2020-04-14,69.35870361328125
2020-04-15,68.72566223144531
2020-04-16,69.271728515625
2020-04-17,68.33180236816406
2020-04-20,66.91344451904297
2020-04-21,64.84514617919922
2020-04-22,66.71292877197266
2020-04-23,66.45436096191406
2020-04-24,68.37287139892578
2020-04-27,68.42121124267578
2020-04-28,67.3121337890625
2020-04-29,69.52302551269531
2020-04-30,70.98969268798828
2020-05-01,69.84680938720703
2020-05-04,70.8350601196289
2020-05-05,71.89822387695312
2020-05-06,72.63999938964844
2020-05-07,73.39144897460938
2020-05-08,75.1383056640625
