Datum,DAX_Kurs_USD
,DAX
2016-01-04,18.94208526611328
2016-01-05,18.831541061401367
2016-01-06,18.61835289001465
2016-01-07,18.286733627319336
2016-01-08,18.113025665283203
2016-01-11,18.255149841308594
2016-01-12,18.476234436035156
2016-01-13,18.091707229614258
2016-01-14,18.215673446655273
2016-01-15,17.57610511779785
2016-01-19,17.82877540588379
2016-01-20,17.50503921508789
2016-01-21,17.702436447143555
2016-01-22,18.016695022583008
2016-01-25,17.84456443786621
2016-01-26,18.128028869628906
2016-01-27,18.22671890258789
2016-01-28,17.963003158569336
2016-01-29,18.034067153930664
2016-02-01,18.041961669921875
2016-02-02,17.78455924987793
2016-02-03,17.741920471191406
2016-02-04,17.85088539123535
2016-02-05,17.528732299804688
2016-02-08,17.023399353027344
2016-02-09,17.078672409057617
2016-02-10,17.27764320373535
2016-02-11,16.946807861328125
2016-02-12,17.149736404418945
2016-02-16,17.149736404418945
2016-02-17,17.749814987182617
2016-02-18,17.876148223876953
2016-02-19,17.70954704284668
2016-02-22,17.89983367919922
2016-02-23,17.726125717163086
2016-02-24,17.386606216430664
2016-02-25,17.386606216430664
2016-02-26,17.647171020507812
2016-02-29,17.481361389160156
2016-03-01,17.994585037231445
2016-03-02,17.852458953857422
2016-03-03,18.191980361938477
2016-03-04,18.334104537963867
2016-03-07,18.19987678527832
2016-03-08,18.097232818603516
2016-03-09,18.152502059936523
2016-03-10,18.065650939941406
2016-03-11,18.728899002075195
2016-03-14,18.799957275390625
2016-03-15,18.709945678710938
2016-03-16,18.92629623413086
2016-03-17,19.021039962768555
2016-03-18,18.9918270111084
2016-03-21,18.94208526611328
2016-03-22,18.94208526611328
2016-03-23,19.02657127380371
2016-03-24,18.673625946044922
2016-03-28,18.70520782470703
2016-03-29,18.75021743774414
2016-03-30,19.29739761352539
2016-03-31,19.18685531616211
2016-04-01,18.94208526611328
2016-04-04,18.953140258789062
2016-04-05,18.366477966308594
2016-04-06,18.626249313354492
2016-04-07,18.476234436035156
2016-04-08,18.602563858032227
2016-04-11,18.744686126708984
2016-04-12,18.594667434692383
2016-04-13,19.1315860748291
2016-04-14,19.226333618164062
2016-04-15,19.1315860748291
2016-04-18,19.384248733520508
2016-04-19,19.857999801635742
2016-04-20,19.944856643676758
2016-04-21,19.86590003967285
2016-04-22,19.676395416259766
2016-04-25,19.621126174926758
2016-04-26,19.59743881225586
2016-04-27,19.660600662231445
2016-04-28,19.660600662231445
2016-04-29,19.48847198486328
2016-05-02,19.72376823425293
2016-05-03,19.376352310180664
2016-05-04,19.057361602783203
2016-05-05,18.90260887145996
2016-05-06,19.06842041015625
2016-05-09,19.139482498168945
2016-05-10,19.29739761352539
2016-05-11,19.234235763549805
2016-05-12,18.962614059448242
2016-05-13,18.8078556060791
2016-05-16,18.878915786743164
2016-05-17,18.728899002075195
2016-05-18,18.728899002075195
2016-05-19,18.4722843170166
2016-05-20,18.665729522705078
2016-05-23,18.586774826049805
2016-05-24,18.925508499145508
2016-05-25,19.156064987182617
2016-05-26,19.317138671875
2016-05-27,19.26581382751465
2016-05-31,19.194753646850586
2016-06-01,19.194753646850586
2016-06-02,19.194753646850586
2016-06-03,19.194753646850586
2016-06-06,19.37319564819336
2016-06-07,19.621126174926758
2016-06-08,19.6527099609375
2016-06-09,19.225543975830078
2016-06-10,18.520444869995117
2016-06-13,18.286733627319336
2016-06-14,18.026168823242188
2016-06-15,18.144607543945312
2016-06-16,18.23145866394043
2016-06-17,18.4217472076416
2016-06-20,18.89628791809082
2016-06-21,19.147375106811523
2016-06-22,19.145788192749023
2016-06-23,19.78795051574707
2016-06-24,17.78843879699707
2016-06-27,17.288360595703125
2016-06-28,17.80431365966797
2016-06-29,17.947193145751953
2016-06-30,18.190086364746094
2016-07-01,18.2686710357666
2016-07-05,17.66461181640625
2016-07-06,17.613805770874023
2016-07-07,17.47886848449707
2016-07-08,17.899564743041992
2016-07-11,18.235336303710938
2016-07-12,18.494897842407227
2016-07-13,18.525060653686523
2016-07-14,18.836219787597656
2016-07-15,18.701276779174805
2016-07-18,18.71714973449707
2016-07-19,18.46314239501953
2016-07-20,18.748905181884766
2016-07-21,18.748905181884766
2016-07-22,18.7250919342041
2016-07-25,18.80446434020996
2016-07-26,18.95925521850586
2016-07-27,19.153722763061523
2016-07-28,19.217226028442383
2016-07-29,19.383922576904297
2016-08-01,19.304540634155273
2016-08-02,19.121978759765625
2016-08-03,19.11641502380371
2016-08-04,19.114038467407227
2016-08-05,19.311687469482422
2016-08-08,19.383922576904297
2016-08-09,19.894315719604492
2016-08-10,19.96337127685547
2016-08-11,20.05068588256836
2016-08-12,20.034812927246094
2016-08-15,20.13006591796875
2016-08-16,20.177690505981445
2016-08-17,20.070531845092773
2016-08-18,20.169755935668945
2016-08-19,20.04274559020996
2016-08-22,20.04274559020996
2016-08-23,20.114192962646484
2016-08-24,20.034812927246094
2016-08-25,19.893524169921875
2016-08-26,19.69348907470703
2016-08-29,19.812557220458984
2016-08-30,19.899871826171875
2016-08-31,19.828433990478516
2016-09-01,19.852245330810547
2016-09-02,19.995126724243164
2016-09-06,20.16181755065918
2016-09-07,20.26421546936035
2016-09-08,20.155466079711914
2016-09-09,19.76493263244629
2016-09-12,19.685550689697266
2016-09-13,19.563310623168945
2016-09-14,19.645862579345703
2016-09-15,19.67761993408203
2016-09-16,19.22516441345215
2016-09-19,19.383922576904297
2016-09-20,19.508544921875
2016-09-21,19.71730613708496
2016-09-22,20.061006546020508
2016-09-23,19.96337127685547
2016-09-26,19.606176376342773
2016-09-27,19.54981803894043
2016-09-28,19.6538028717041
2016-09-29,19.38153839111328
2016-09-30,19.84430694580078
2016-10-03,19.71730613708496
2016-10-04,19.814937591552734
2016-10-05,19.914953231811523
2016-10-06,19.812557220458984
2016-10-07,19.685550689697266
2016-10-10,19.852245330810547
2016-10-11,19.590303421020508
2016-10-12,19.44742202758789
2016-10-13,19.360107421875
2016-10-14,19.518861770629883
2016-10-17,19.3759822845459
2016-10-18,19.57442855834961
2016-10-19,19.57442855834961
2016-10-20,19.614116668701172
2016-10-21,19.534740447998047
2016-10-24,19.622051239013672
2016-10-25,19.629993438720703
2016-10-26,19.534740447998047
2016-10-27,19.59823989868164
2016-10-28,19.606176376342773
2016-10-31,19.614116668701172
2016-11-01,19.614116668701172
2016-11-02,19.324386596679688
2016-11-03,19.18547821044922
2016-11-04,19.0664119720459
2016-11-07,19.368040084838867
2016-11-08,19.471237182617188
2016-11-09,19.518861770629883
2016-11-10,19.42678451538086
2016-11-11,19.399795532226562
2016-11-14,19.241037368774414
2016-11-15,19.264850616455078
2016-11-16,19.082290649414062
2016-11-17,19.098161697387695
2016-11-18,18.955284118652344
2016-11-21,19.0346622467041
2016-11-22,19.0346622467041
2016-11-23,18.876699447631836
2016-11-25,18.899715423583984
2016-11-28,18.80446434020996
2016-11-29,18.982267379760742
2016-11-30,18.875905990600586
2016-12-01,18.733028411865234
2016-12-02,18.80446434020996
2016-12-05,19.306928634643555
2016-12-06,19.3759822845459
2016-12-07,19.9871883392334
2016-12-08,19.883995056152344
2016-12-09,19.87526512145996
2016-12-12,19.92130470275879
2016-12-13,20.100696563720703
2016-12-14,19.772871017456055
2016-12-15,19.828433990478516
2016-12-16,19.907812118530273
2016-12-19,19.874473571777344
2016-12-20,19.931625366210938
2016-12-21,20.01202964782715
2016-12-22,20.003986358642578
2016-12-23,20.036951065063477
2016-12-27,20.07634925842285
2016-12-28,19.93162727355957
2016-12-29,20.084388732910156
2016-12-30,20.180871963500977
2017-01-03,20.180871963500977
2017-01-04,20.333635330200195
2017-01-05,20.526601791381836
2017-01-06,20.462278366088867
2017-01-09,20.446199417114258
2017-01-10,20.4582576751709
2017-01-11,20.62308120727539
2017-01-12,20.558757781982422
2017-01-13,20.558757781982422
2017-01-17,20.679363250732422
2017-01-18,20.73564338684082
2017-01-19,20.631118774414062
2017-01-20,20.79996109008789
2017-01-23,20.76780128479004
2017-01-24,20.88036346435547
2017-01-25,21.250211715698242
2017-01-26,21.177854537963867
2017-01-27,21.145689010620117
2017-01-30,20.88036346435547
2017-01-31,20.872325897216797
2017-02-01,21.02509117126465
2017-02-02,21.097450256347656
2017-02-03,20.924591064453125
2017-02-06,20.66328239440918
2017-02-07,20.679363250732422
2017-02-08,20.683378219604492
2017-02-09,20.80478858947754
2017-02-10,20.7871036529541
2017-02-13,20.90447998046875
2017-02-14,20.88036346435547
2017-02-15,20.920564651489258
2017-02-16,20.96076774597168
2017-02-17,20.89644432067871
2017-02-21,21.145689010620117
2017-02-22,21.121570587158203
2017-02-23,21.13604164123535
2017-02-24,20.895641326904297
2017-02-27,21.02509117126465
2017-02-28,20.976850509643555
2017-03-01,21.32257843017578
2017-03-02,21.153732299804688
2017-03-03,21.313732147216797
2017-03-06,21.210012435913086
2017-03-07,21.150516510009766
2017-03-08,21.06529426574707
2017-03-09,21.218055725097656
2017-03-10,21.386899948120117
2017-03-13,21.386899948120117
2017-03-14,21.25826072692871
2017-03-15,21.539663314819336
2017-03-16,21.716543197631836
2017-03-17,21.733428955078125
2017-03-20,21.61202049255371
2017-03-21,21.58066749572754
2017-03-22,21.538860321044922
2017-03-23,21.692424774169922
2017-03-24,21.74870491027832
2017-03-27,21.808204650878906
2017-03-28,21.965789794921875
2017-03-29,21.91754913330078
2017-03-30,21.829105377197266
2017-03-31,21.97382926940918
2017-04-03,21.901472091674805
2017-04-04,21.86931037902832
2017-04-05,21.692424774169922
2017-04-06,21.700464248657227
2017-04-07,21.599159240722656
2017-04-10,21.547698974609375
2017-04-11,21.558155059814453
2017-04-12,21.523578643798828
2017-04-13,21.402978897094727
2017-04-17,21.524385452270508
2017-04-18,21.49945831298828
2017-04-19,21.515539169311523
2017-04-20,21.587099075317383
2017-04-21,21.547698974609375
2017-04-24,22.572826385498047
2017-04-25,22.75373077392578
2017-04-26,22.633127212524414
2017-04-27,22.54066276550293
2017-04-28,22.576847076416016
2017-05-01,22.74569320678711
2017-05-02,22.81001091003418
2017-05-03,22.731216430664062
2017-05-04,23.063274383544922
2017-05-05,23.416240692138672
2017-05-08,23.091419219970703
2017-05-09,23.083377838134766
2017-05-10,23.072925567626953
2017-05-11,22.998952865600586
2017-05-12,23.180662155151367
2017-05-15,23.35674285888672
2017-05-16,23.580257415771484
2017-05-17,23.237749099731445
2017-05-18,23.28679084777832
2017-05-19,23.517549514770508
2017-05-22,23.557748794555664
2017-05-23,23.53363037109375
2017-05-24,23.445188522338867
2017-05-25,23.524782180786133
2017-05-26,23.405790328979492
2017-05-30,23.392921447753906
2017-05-31,23.573829650878906
2017-06-01,23.63814926147461
2017-06-02,24.07232093811035
2017-06-05,23.871313095092773
2017-06-06,23.718551635742188
2017-06-07,23.745084762573242
2017-06-08,23.662269592285156
2017-06-09,23.782873153686523
2017-06-12,23.630109786987305
2017-06-13,23.758750915527344
2017-06-14,23.865690231323242
2017-06-15,23.461267471313477
2017-06-16,23.702472686767578
2017-06-19,23.871313095092773
2017-06-20,23.722572326660156
2017-06-21,23.72420883178711
2017-06-22,23.731586456298828
2017-06-23,23.650482177734375
2017-06-26,23.78565216064453
2017-06-27,23.7405948638916
2017-06-28,23.96341896057129
2017-06-29,23.52760124206543
2017-06-30,23.482547760009766
2017-07-03,23.516948699951172
2017-07-05,23.50302505493164
2017-07-06,23.412914276123047
2017-07-07,23.56856346130371
2017-07-10,23.57265853881836
2017-07-11,23.72502899169922
2017-07-12,23.998647689819336
2017-07-13,23.961782455444336
2017-07-14,24.092853546142578
2017-07-17,23.99045753479004
2017-07-18,23.854463577270508
2017-07-19,23.847091674804688
2017-07-20,24.038787841796875
2017-07-21,23.707826614379883
2017-07-24,23.658674240112305
2017-07-25,23.7233943939209
2017-07-26,23.891326904296875
2017-07-27,23.60133171081543
2017-07-28,23.781553268432617
2017-07-31,23.76189422607422
2017-08-01,24.088754653930664
2017-08-02,23.961782455444336
2017-08-03,23.95358657836914
2017-08-04,24.043703079223633
2017-08-07,23.96587562561035
2017-08-08,23.96587562561035
2017-08-09,23.734039306640625
2017-08-10,23.429298400878906
2017-08-11,23.543983459472656
2017-08-14,23.86593246459961
2017-08-15,23.75697898864746
2017-08-16,23.888051986694336
2017-08-17,23.752883911132812
2017-08-18,23.732402801513672
2017-08-21,23.674240112304688
2017-08-22,23.872488021850586
2017-08-23,23.9699764251709
2017-08-24,23.904438018798828
2017-08-25,24.04042625427246
2017-08-28,24.166580200195312
2017-08-29,23.892967224121094
2017-08-30,23.82169532775879
2017-08-31,23.870849609375
2017-09-01,23.98062515258789
2017-09-05,23.9699764251709
2017-09-06,24.334524154663086
2017-09-07,24.649913787841797
2017-09-08,24.61223030090332
2017-09-11,24.887483596801758
2017-09-12,24.936635971069336
2017-09-13,24.826045989990234
2017-09-14,24.762147903442383
2017-09-15,24.862091064453125
2017-09-18,24.944826126098633
2017-09-19,25.08409309387207
2017-09-20,24.91206169128418
2017-09-21,25.05951690673828
2017-09-22,25.075902938842773
2017-09-25,24.805564880371094
2017-09-26,24.70070457458496
2017-09-27,24.7973690032959
2017-09-28,24.928442001342773
2017-09-29,25.16683578491211
2017-10-02,25.20697593688965
2017-10-03,25.27988624572754
2017-10-04,25.321664810180664
2017-10-05,25.257761001586914
2017-10-06,25.277427673339844
2017-10-09,25.272510528564453
2017-10-10,25.339685440063477
2017-10-11,25.526466369628906
2017-10-12,25.527286529541016
2017-10-13,25.534658432006836
2017-10-16,25.454376220703125
2017-10-17,25.478132247924805
2017-10-18,25.616575241088867
2017-10-19,25.569061279296875
2017-10-20,25.469118118286133
2017-10-23,25.374914169311523
2017-10-24,25.354433059692383
2017-10-25,25.431438446044922
2017-10-26,25.518272399902344
2017-10-27,25.460926055908203
2017-10-30,25.58954429626465
2017-10-31,25.800899505615234
2017-11-01,26.009796142578125
2017-11-02,26.14250946044922
2017-11-03,26.034374237060547
2017-11-06,26.034374237060547
2017-11-07,25.780418395996094
2017-11-08,25.87872314453125
2017-11-09,25.559234619140625
2017-11-10,25.44290542602539
2017-11-13,25.36836051940918
2017-11-14,25.632963180541992
2017-11-15,25.356067657470703
2017-11-16,25.632963180541992
2017-11-17,25.518272399902344
2017-11-20,25.471580505371094
2017-11-21,25.739452362060547
2017-11-22,25.469118118286133
2017-11-24,25.95245361328125
2017-11-27,25.724714279174805
2017-11-28,25.87872314453125
2017-11-29,25.747650146484375
2017-11-30,25.739452362060547
2017-12-01,25.582172393798828
2017-12-04,25.796802520751953
2017-12-05,25.551040649414062
2017-12-06,25.482229232788086
2017-12-07,25.656721115112305
2017-12-08,25.77223014831543
2017-12-11,25.73126792907715
2017-12-12,25.659175872802734
2017-12-13,25.70013999938965
2017-12-14,25.5428466796875
2017-12-15,25.5657901763916
2017-12-18,26.02618408203125
2017-12-19,26.05894660949707
2017-12-20,26.02618408203125
2017-12-21,25.79352569580078
2017-12-22,25.736997604370117
2017-12-26,25.691125869750977
2017-12-27,25.750926971435547
2017-12-28,25.845956802368164
2017-12-29,25.87872314453125
2018-01-02,25.77386474609375
2018-01-03,25.964744567871094
2018-01-04,26.411209106445312
2018-01-05,26.702848434448242
2018-01-08,26.62420082092285
2018-01-09,26.550472259521484
2018-01-10,26.370243072509766
2018-01-11,26.460359573364258
2018-01-12,26.788043975830078
2018-01-16,26.878158569335938
2018-01-17,26.894540786743164
2018-01-18,27.054283142089844
2018-01-19,27.40244483947754
2018-01-22,27.48436737060547
2018-01-23,27.685068130493164
2018-01-24,27.689163208007812
2018-01-25,27.51713752746582
2018-01-26,27.561376571655273
2018-01-29,27.353294372558594
2018-01-30,27.164878845214844
2018-01-31,27.173070907592773
2018-02-01,27.017419815063477
2018-02-02,26.34566879272461
2018-02-05,25.338045120239258
2018-02-06,25.960641860961914
2018-02-07,25.649343490600586
2018-02-08,24.740026473999023
2018-02-09,24.93172264099121
2018-02-12,25.223363876342773
2018-02-13,25.222537994384766
2018-02-14,25.66573143005371
2018-02-15,25.747650146484375
2018-02-16,25.845956802368164
2018-02-20,25.477312088012695
2018-02-21,25.329851150512695
2018-02-22,25.444547653198242
2018-02-23,25.714879989624023
2018-02-26,25.68211555480957
2018-02-27,25.31757164001465
2018-02-28,25.034940719604492
2018-03-01,24.54341697692871
2018-03-02,24.633529663085938
2018-03-05,24.917795181274414
2018-03-06,25.034940719604492
2018-03-07,25.186494827270508
2018-03-08,25.243837356567383
2018-03-09,25.260221481323242
2018-03-12,25.404403686523438
2018-03-13,25.08409309387207
2018-03-14,25.12505531311035
2018-03-15,25.284799575805664
2018-03-16,25.239742279052734
2018-03-19,25.010366439819336
2018-03-20,25.0808162689209
2018-03-21,25.05951690673828
2018-03-22,24.585195541381836
2018-03-23,24.207544326782227
2018-03-26,24.699066162109375
2018-03-27,24.436918258666992
2018-03-28,24.469690322875977
2018-03-29,24.772796630859375
