Asset,Ticker,Modell,AIC,BIC,MAE,RMSE,MAPE (%),MASE
DAX,EWG,"ARIMA(3,1,2)",-14716.136,-14681.1059,2.1037,2.5472,4.8715,8.896
Gold,GC=F,"ARIMA(0,1,2)",-16081.5578,-16064.044,211.4912,244.5065,4.4205,14.9415
