Asset,N,Start,Ende,Preis_Min,Preis_Max,Preis_Mean,Preis_Median,Preis_Std,Return_Mean_pct,Return_Std_pct,Return_Annual_Vol_pct,Return_Skew,Return_Kurtosis,Return_Min_pct,Return_Max_pct
DAX,2597,2016-01-04,2026-05-01,15.067524909973145,47.52000045776367,27.22862571764782,25.35361099243164,7.186365641394334,0.033461032546519116,1.3443715595966739,21.34123689816509,-0.6704840073698589,9.834749908798338,-12.015391527106043,9.214931994697531
Gold,2596,2016-01-04,2026-05-01,1073.9000244140625,5318.39990234375,1928.5716468564167,1773.5999755859375,843.2008718291337,0.05626672796531173,1.0428177618156973,16.554218763151937,-0.7996725199688011,10.60547597773881,-12.06569177115754,5.905437776175919
Bitcoin,3776,2016-01-01,2026-05-03,364.33099365234375,124752.53125,31757.77867017358,19215.4306640625,32606.47457013696,0.1376828315273917,3.5138692633697475,55.78094526282046,-0.664285625566085,12.247159610894064,-46.4730175339773,22.511895434132782
